primary_cell_index,mutation_rate,area_reference,interaction_feedback,master_seed,replicate_index,calibration_seed,h1_resolution_supported,source_prepared,anchor_barrier,patch_count,patch_area,theoretical_k_fragment,theoretical_k_above_four,outcome_seed,projection_supported,final_interaction_mean,final_effective_size_mean,realised_high_trait_mass_mean,potential_high_trait_viable,realised_high_trait_persists,h_alpha,h_gamma
0,0.1,0.8,6.0,20260820,17,2042866608,False,False,,4,1.0,7.5,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,17,2042866608,False,False,,6,0.6666666666666666,5.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,17,2042866608,False,False,,8,0.5,3.75,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,17,2042866608,False,False,,12,0.3333333333333333,2.5,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,17,2042866608,False,False,,16,0.25,1.875,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,18,2042866709,False,False,,1,4.0,30.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,18,2042866709,False,False,,2,2.0,15.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,18,2042866709,False,False,,3,1.3333333333333333,10.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,18,2042866709,False,False,,4,1.0,7.5,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,18,2042866709,False,False,,6,0.6666666666666666,5.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,18,2042866709,False,False,,8,0.5,3.75,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,18,2042866709,False,False,,12,0.3333333333333333,2.5,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,18,2042866709,False,False,,16,0.25,1.875,False,,,,,,,,,
0,0.1,0.8,6.0,20260820,19,2042866810,True,True,1.5400480876065283,1,4.0,30.0,True,1810150492,True,0.9999594945212317,73.2,0.6311475409836066,True,True,0.4841433664852693,0.4841433664852693
0,0.1,0.8,6.0,20260820,19,2042866810,True,True,1.5400480876065283,2,2.0,15.0,True,1810150593,True,0.00016070300069961004,15.6,0.07692307692307693,False,True,0.27887617065556713,0.31217481789802287
0,0.1,0.8,6.0,20260820,19,2042866810,True,True,1.5400480876065283,3,1.3333333333333333,10.0,True,1810150694,True,0.00013282852176228137,10.6,0.20697167755991286,False,True,0.46832371744893175,0.4688999055574025
0,0.1,0.8,6.0,20260820,19,2042866810,True,True,1.5400480876065283,4,1.0,7.5,True,1810150795,True,0.00010710719229424588,7.8,0.1153846153846154,False,True,0.28515625,0.3046875
0,0.1,0.8,6.0,20260820,19,2042866810,True,True,1.5400480876065283,6,0.6666666666666666,5.0,True,1810150997,True,0.00011267331910299022,5.3999999999999995,0.14814814814814814,False,True,0.31955922865013775,0.4706152433425161
0,0.1,0.8,6.0,20260820,19,2042866810,True,True,1.5400480876065283,8,0.5,3.75,False,1810151199,True,0.00010660619960463152,4.2,0.10714285714285716,False,True,0.33984375,0.39013671875
0,0.1,0.8,6.0,20260820,19,2042866810,True,True,1.5400480876065283,12,0.3333333333333333,2.5,False,1810151603,True,0.00010761015091945976,3.0,0.20000000000000004,False,True,0.3055555555555555,0.4444444444444445
